Artist,Album,Date
Devin Townsend Project,Ghost,11/13/2020
Nine Inch Nails,The Fragile,11/20/2020
Opeth,In Cauda Venenum,11/20/2020
Puscifer,Existential Reckoning,11/20/2020
Haken,Visions,11/27/2020
Mudvayne,LD 50,11/27/2020
Opeth,Blackwater Park,11/27/2020
Opeth,Damnation,12/1/2020
Avenged Sevenfold,City of Evil,12/4/2020
Deftones,Ohms,12/4/2020
Rush,Moving Pictures,12/4/2020
Porcupine Tree,Fear of a Blank Planet,12/8/2020
Igorrr,Spirituality and Distortion,12/11/2020
Marilyn Manson,Antichrist Superstar,12/11/2020
Sabaton,The Great War,12/11/2020
Nine Inch Nails,The Downward Spiral,12/15/2020
Boney M,Christmas with Boney M.,12/18/2020
The Killers,Don't Waste Your Wishes,12/18/2020
Trans-Siberian Orchestra,Christmas Eve and Other Stories,12/18/2020
Black Sabbath,Paranoid,12/29/2020
Katatonia,The Fall of Hearts,01/01/2021
Diablo Swing Orchestra,Pandora's Pinata,01/01/2021
Pain of Salvation,Road Salt One,01/01/2021
Children of Bodom,Follow the Repear,01/05/2021
Children of Bodom,Hate Crew Deathrol,01/05/2021
Monster Magnet,Power Trip,01/08/2021
Airbag,A Day at the Beach,01/08/2021
Tool,Lateralus,01/08/2021
Anathema,Judgement,01/12/2021
Van Halen,1984,01/12/2021
The Dillinger Escape Plan,Ire Works,01/15/2021
Various Artists,Magnatron,01/15/2021
Puscifer,Money Shot,01/15/2021
Jethro Tull,Aqualung (Steven Wilson Mix),01/15/2021
Puscifer,Existential Reckoning,01/15/2021
A Perfect Circle,Mer De Noms,01/19/2021
Front Line Assembly,Mechanical Soul,01/19/2021
Opeth,Deliverance,01/22/2021
Strapping Young Lad,City,01/22/2021
Dance Gavin Dance,Mothership,01/22/2021
Twenty One Pilots,Trench,01/26/2021
Magic Sam,West Side Soul,01/26/2021
Steven Wilson,The Future Bites,01/28/2021
Devin Townsend,Casualties of Cool,01/29/2021
The Doors,Self Titled,01/29/2021
Freddie King,Getting Ready... (World),01/29/2021
Stone Sour,"House of Gold & Bones, Part 1",02/02/2021
Vance Joy,Nation of Two,02/02/2021
Beck,Modern Guilt,02/05/2021
Eminem,The Eminem Show,02/05/2021
Queens of the Stoneage,Songs for the Deaf,02/05/2021
Transatlanic,The Absolute Univers (Extended Version),02/09/2021
Ninjaspy,Spuken,02/12/2021
Hootie and the blowfish, Cracked Rear View,02/12/2021
Dream Theater,Scenes From a Memory,02/12/2021
Storm Corrosion,https://open.spotify.com/album/2hfMN1T3sh5q3j84lw7ZcU?si=lQxcbjdHT_C9jOtYhe54OA,02/16/2021
Tom Petty & The Heartbreakers,Damn The Torpedoes,02/16/2021
Iron Maiden,The Number Of the Beast,02/19/2021
Beach Boys ,Pet Sounds ,02/19/2021
Devin Townsend,Empath,02/19/2021
Lord Huron,Strange Trails,02/23/2021
Michael Nyman,Musique à Grande Vitesse,02/23/2021
Dream Theater,Systematic Chaos,02/26/2021
Porcupine Tree,Voyage 34,02/26/2021
Opeth,Damnation,02/26/2021
Dr. Dre,2001,03/02/2021
Pantera,The great southern treadkill,03/02/2021
Enigma ,MCMXC a.D.,03/05/2021
Peregine Falls,Self Titled,03/05/2021
Queensrÿche,operation mind crime ,03/05/2021
Greta Van Fleet,From the fires,03/09/2021
Nine Inch Nails,Year Zero,03/09/2021
The Hu,The Gereg,03/12/2021
Infected Mushroom,The Gathering,03/12/2021
KoRn,Issues,03/12/2021
Leonard Cohen,The Future,03/16/2021
Apocalyptica,Cell-0,03/16/2021
Anathema,Distant Satellites,03/19/2021
Flume,Hi This Is Flume (Mixtape),03/19/2021
Powerwolf,Best of the Blessed,03/19/2021
Haken,Virus,03/23/2021
Haken,Vector,03/23/2021
System of a Down,Mezmerize,03/26/2021
Green Day,American Idiot,03/26/2021
Jean-Michel Jarre,Oxygene,03/26/2021
Jean-Michel Jarre,Oxygene Pt 2 and 3,03/30/2021
Shpongle,Codex Vi,04/02/2021
Giant Squid,Metridium Fields ,04/02/2021
Led Zeppelin,4,04/02/2021
Orden Ogan,RavenHead,04/06/2021
NWA,Straight Outta Compton,04/06/2021
Tool,Fear Inoculum,04/09/2021
68,Two Parts Viper,04/09/2021
Igorrr,Savage Sinusoid,04/09/2021
Howard Shore,The Lord of the Rings Symphony,04/13/2021
Sabaton,The Last Stand,04/16/2021
Herbie Hancock,Head Hunters,04/16/2021
Sublime,40 Oz. To Freedom,04/20/2021
Pink Floyd,Dark Side of the Moon,04/20/2021
Greta Van Fleet,The Battle at Garden's Gate,04/23/2021
Liquid Tension Experiment,LTE3,04/23/2021
Therion,Deggial,04/27/2021
"Medeski, Martin & Wood",End of The World Pary (Just in Case),04/27/2021
mazzy star,so tonight that i might see,04/30/2021
Sturgill Simpson,Sound & Fury,04/30/2021
Nine inch nails ,The slip,05/04/2021
Arjen Anthony Lucassen's Star One,Space Metal,05/04/2021
Black Sabbath,Master of Reality,05/06/2021
Alice Cooper,School's Out,05/06/2021
 Noir Désir,Des visages des figures,05/11/2021
Testament,Brotherhood of the snake,05/11/2021
Dead from Above 1979,Outrage! Is Now,05/14/2021
Kyros,Celexa Dreams,05/14/2021
Toehider,What Kind of Creature am I?,05/18/2021
Rush,Vapor Trails,05/18/2021
HammerFall,Renegade,05/21/2021
Strapping Young Lad,The New Black,05/21/2021
Puscifer,Existential Reckoning,05/25/2021
Black Sabbath,Paranoid,05/25/2021
NiN,PHM,05/28/2021
Metallica,the black album,05/28/2021
The Halluci Nation,A Tribe Called Red,06/01/2021
Chris Derksen,Orchestral Powwow,06/01/2021
Devin Townsend Project,Transcendence,06/04/2021
Eminem,Music to be Murdered By,06/04/2021
The Tragically Hip,Self Titled,06/08/2021
System of a Down,System of a Down,06/08/2021
Future of the Left,Travels with Myself and Another,06/11/2021
AmonAmarth,Surtur Rising,06/11/2021
Down,Nola,06/15/2021
Black Crowes,Lions,06/15/2021
KMFDM,Symbols,06/18/2021
Shpongle,Ineffable Mysteries from Shpongleland,06/18/2021
Dmitri Shostikovich,Dmitri Shostakovich's 7th Symphony,06/22/2021
Nirvana,Unplugged,06/22/2021
The Tragically Hip,Phantom Power,06/25/2021
Pink Floyd ,The Division Bell,06/25/2021
Ry Cooder and Manuel Galbán,Mambo Sinuendo,06/29/2021
Jinjer,Macro,06/29/2021
Lord of the Lost,Empyrean (Deluxe Edition),06/30/2021
Dance with the Dead,Loved to Death,06/30/2021
King Gizzard and the Lizard Wizard ,Flying Microtonal Banana,07/06/2021
Bluesbreakers,John Mayall & The Bluesbreakers,07/06/2021
Powerwolf,Call of the Wild,07/16/2021
Dream Theater,Systematic Chaos,07/16/2021
Noora Louhimo Experience,Eternal Wheel of Time and Space,07/20/2021
Rage Against the Machine,Self Titled,07/20/2021
Melanie martinez,k - 12,07/23/2021
Various artists,Kill Bill Vol 1 OST,07/23/2021
Gothminister,Utopia,07/27/2021
Opeth,In Cauda Venenum,07/27/2021
Slipknot,Self Titled,07/30/2021
Polyphia,Renaissance ,07/30/2021
ZZ Top,Tres Hombres,08/03/2021
Steely Dan,Countdown To Ecstasy,08/03/2021
Meatloaf,Bat Out Of Hell,08/06/2021
Pearl Jam,Ten,08/06/2021
Sonata Arctica,Takatalvi,08/10/2021
The Avalanches,Since I Left You,08/10/2021
Zeal & Ardor,Stranger Fruit,08/13/2021
Opeth,Still life,08/13/2021
Viza,Made in Chernobyl,08/17/2021
Lamb of God,As the Palaces Burn,08/17/2021
Tyr,Valkyrja,8/20/2021
Dire Straits,Dire Straits,8/20/2021
Stone Temple Pilots,Core,08/24/2021
The Tea Party,Transmission,08/24/2021
Rolling Stones,Let It Bleed,08/27/2021
Leprous,Malina,08/27/2021
The Neal Morse Band,Innocence & Danger,08/31/2021
Melanie martinez,After School EP,09/03/2021
Flobots,Fight With Tools,09/03/2021
Steven Wilson,The Future Bites,09/03/2021
Robert Cray,Strong Persuader,09/07/2021
Billy Talent,Billy Talent II,09/07/2021
Puscifer,"""V"" is for Vagina",09/10/2021
Machine Head,The Blackening,09/10/2021
Eiffel 65,Europop,9/17/2021
Devin Townsend Project,Addicted,9/17/2021
Five FInger Death Punch/FFDP,"F8 (pronounced ""Fate"")",9/21/2021
Red Hot Chili Peppers,Californication,9/21/2021
Ghost,Prequelle,9/24/2021
Shpongle,Nothing Lasts...but Nothing Is Lost,9/24/2021
Arcane,Ashes,9/28/2021
rush,permanent waves,9/28/2021
Art Napoleon,Miyoskamin,9/30/2021
Gord Downie,Secret Path,9/30/2021
Bone Crew,Manifest,10/5/2021
The Ocean,Pelagial,10/5/2021
Daft Punk,Discovery,10/8/2021
Kyros,Celexa Dreams,10/8/2021
Orden Ogan,Gun men,10/12/2021
Disturbed,Immortalized,10/12/2021
The Decemberists,The King is Dead,10/15/2021
Robbie Robertson,Robbie Robertson,10/15/2021
The Edgar Winter Group,They Only Come Out At Night,10/19/2021
Turisas,Stand Up and Fight,10/19/2021
Dream Theater,A View From The Top Of The World,10/22/2021
öOoOoOoOoOo,Samen,10/22/2021
Rob Zombie,Hellbilly deluxe,10/26/2021
Cradle of Filth,Midian,10/26/2021
Arch Enemy,will to power,11/2/2021
Cloudkicker,Fade,11/2/2021
Steven Wilson,Hand Cannot Erase,11/5/2021
The Tragically Hip,Fully Completely ,11/5/2021
The Mars Volta,Deloused in the Comatorium,11/09/2021
Lucid Planet,Self Titled,11/09/2021
Adele,30,11/23/2021
Plini,Handmade Cities,11/23/2021
Mushroomhead,XX,11/30/2021
Devin Townsend,The Puzzle,12/03/2021
Devin Townsend,Snuggles,12/03/2021
Refused,The Shape of Punk To Come,12/7/2021
Neil Young,Harvest,12/7/2021
Dream Theater,The Astonishing,12/14/2021
Boney M.,Christmas with Boney M.,12/17/2021
Trans-Siberian Orchestra,Christmas Eve and Other Stories,12/17/2021
A Christmas Gift For You From Phil Spector,A Christmas Gift For You From Phil Spector,12/21/2021
Brendan Dalton,Christmas In Middle-Earth,12/21/2021
Soilwork,verkligheten,12/28/2021
Horizon Ignited,After the Storm,12/28/2021
Phutureprimitive,Kinetic,1/4/2022
Daft Punk,Random Acess Memories,1/4/2022
Booker T & The MGs,Melting Pot,01/11/2022
Metallica,Ride the Lightning,1/11/2022
Halsey,If I cant have love I'll take power?,1/14/2022
Opeth,Damnation,1/14/2022
Orden Ogan,Final Days,01/21/2022
Ihsahn,After,01/21/2022
Childish Gambino,Because The Internet,01/28/2022
Kendrick Lamar,To Pimp A Butterfly,01/28/2022
George Thorogood & The Destroyers,Self Titled,02/01/2022
Fleetwood Mac,Rumours,02/01/2022
Unleash The Archers,Apex,02/04/2022
Sabaton,The Art of War,02/04/2022
Frank Sinatra,Strangers in the night,02/08/2022
Jeff Alexander,Alfred Hitchcock Presents Music To Be Murdered By,02/08/2022
Zeal & Ardor,Self Titled,02/11/2022
Igorrr,Savage Sinusoid,02/11/2022
Elvis Costello,My Aim is True,02/15/2022
Eddie Vedder,Into The Wild,02/15/2022
Deftones,Around the Fur,02/18/2022
Soulfly,Primitive,02/18/2022
The Mattson 2,Feeling Hands,02/23/2022
"Arne Domnérus, Bengt Hallberg, Lars Erstrand, Georg Riedel, Egil Johansen",Jazz at the Pawnshop,02/23/2022
Hammerfall,Hammer Of Dawn,02/25/2022
The Lightbringer of Sweeden,Ride The Beast,02/25/2022
Scorpions,Rock Believer,03/01/2022
Il Maniscalco Maldestro,il maniscalco maldestro,03/01/2022
Devin Townsend,Empath,03/08/2022
Bloodywood,Rakshak,03/08/2022
Arjen Anthony Lucassen's Star One,Revel In Time,03/11/2022
Haken,Affinity,03/11/2022
Van Morrison,Moondance,03/15/2022
Wishbone Ash,Argus,03/15/2022
Pomme,À Peu Près,03/22/2022
Ludovico Einaudi,Una Mattina,03/22/2022
Foo Fighters,In Your Honor,03/29/2022
Sabaton,The War To End All Wars,03/29/2022
Marilyn Manson,Holy Wood,4/1/2022
Puscifer,Conditions Of My Parole,4/1/2022
PowerWolf,The Sacrament of Sin,04/05/2022
Twin Temple,Twin Temple (Bring You Their Signature Sound... Satanic Doo-Wop),04/05/2022
Funkadelic,Maggot Brain,04/12/2022
Jon Batiste,We Are,04/12/2022
The Dreadnoughts,Polka's Not Dead,04/19/2022
Magma,Mekanïk Destruktïw Kommandöh,04/19/2022
KMFDM,In Dub,4/22/2022
Easy Star All-Stars,Dub Side Of The Moon,4/22/2022
Immortal Guardian,Psychosomatic,4/26/2022
Amon Amarth,Twilight of the thunder god,4/26/2022
Brian Eno,Another Green World,4/29/2022
Ry Cooder,Paradise and Lunch,4/29/2022
Archspire, Bleed the future ,05/03/2022
Rïcïnn,Lïan,05/03/2022
Sweet Trip,Velocity : Design : Comfort,05/10/2022
Viza,Carnivalia,05/10/2022
Cocteau twins,Heaven or Las Vegas,05/17/2022
Yma Sumac,Voice of the Xtabay,05/17/2022
Run The Jewels,RTJ4,5/20/2022
Ghost,IMPERA,5/20/2022
Chris Isaak,Heart Shaped World,5/24/2022
Jean-Luc Ponty,Cosmic messenger,5/24/2022
Troldhaugen,Idio+syncrasies,5/27/2022
Steven Wilson,The Raven That Refused to Sing,5/27/2022
Yes,Close to the Edge,5/31/2022
Depeche Mode,Violator,5/31/2022
Rolling Stones,Exile on Main Street,06/07/2022
Ayreon,Into The Electric Castle,06/10/2022
Dead can Dance,Wake,6/14/2022
Porcupine Tree,Closure / Continuation,6/24/2022
Avishai Cohen,Aurora,6/24/2022
Paul Simon,Graceland,06/28/2022
Santana,Abraxas,06/28/2022
Daliborovo Granje,Hainin,07/05/2022
Junior Brown,Guit With It,07/05/2022
Aphex Twin,Syro,7/8/2022
Trees of Eternity,Hour of the Nightingale,7/8/2022
Tom Misch & Yussef Dayes,What Kinda Music,7/19/2022
Enthogenic,Kykeon,7/19/2022
Powerwolf,Mettalum Nostrum,7/22/2022
Men I Trust,Oncle Jazz,7/22/2022
Harvey Mandel,Baby Batter,7/26/2022
The Moody Blues,Days of Future Passed,7/26/2022
Espers,The weed tree,8/2/2022
Jimmy Martin & Ralph Stanley,First Time Together,8/2/2022
Orbital,Wonky,8/5/2022
The Offspring,Smash,8/5/2022
Pain of Salvation,Remedy Lane,8/9/2022
Avishai Cohen Trio,Gently Disturbed,8/9/2022
AWOLNATION and Various Artist,"My Echo, My Shadow, My Covers & Me",8/12/2022
Beardfish,Från En Plats Du Ej Kan Se,8/12/2022
Booker T & The MGs,Green Onions,8/16/2022
Blue Oyster Cult,Fire of Unknown Origin,8/16/2022
Björk,Medulla,8/23/2022
Emmylou Harris,Last Date,8/23/2022
Ólafur Arnalds,Eulogy for Evolution,8/30/2022
Nightmares on Wax,Carboot Soul,8/30/2022
Korn,The Path of Totality (special edition),9/2/2022
Children of Bodom,Hatebreeder,9/2/2022
Blue October,Home,9/7/2022
Scarab,Serpents of the Nile,9/7/2022
King Crimson,Red,9/9/2022
Shahbaz hussain Helen Anahita Wilson,Diwan,9/9/2022
Mike and the Moonpies,Cheap Silver and Solid Country Gold,9/13/2022
King Krule,The Ooz,9/13/2022
Art Bergmann,Sexual Roulette,9/20/2022
grandson,Death of an Optimist,9/20/2022
Nine Inch Nails,The Fragile,9/23/2022
Nuclear Power Trio,A Clear and Present Rager (EP),9/23/2022
Deftones,Self Titled,10/4/2022
Gazpacho,Night,10/4/2022
Marvin Gaye,What's Going On,10/8/2022
Mel Torme,Swingin' On The Moon,10/8/2022
King Gizzard and the Lizard Wizard,"Ice, Death, Planets, Lungs, Mushrooms And Lava",10/8/2022
Tigran Hamasyan,Mockroot,10/12/2022
Lumsk,Troll,10/12/2022
L'indécis,Plethoria,10/14/2022
Ty Segall,Manipulator,10/14/2022